"Engelse Hervomde Kerk","2"
"Begijnhof|Engelse kerk","2"
"Montelbaanstoren|Zuiderkerk","2"
"West-Indische pakhuizen","2"
"d' Admiraal (molen)","2"
"Zwembad Heiligeweg","2"
"Hendrick Jacobsz. Staetsbrug","2"
"Brug 222","2"
"Lommertbrug","2"
"Willem I-sluis","2"
"molen d'Admiraal","2"
"Centraal Station|Stationspostkantoor ","2"
"Hervormde Kerk Durgerdam","2"
"Huize Frankedael","2"
"Nederlands Israëlitische Hoofdsynagoge|Mozes en Aäronkerk","2"
"Het West-Indisch Huis","2"
"opgraving","2"
"van Brienenhuis","2"
"Stellingmolen de Gooyer","2"
"Hoogduits Synagogecomplex","2"
"Het Nieuw Suykerhofje","2"
"De Hollandsche Manege","2"
"Havencentrale Oost","2"
"GEB huisje","2"
"Lekkeresluis","2"
"Lutherkapel","2"
"Doelen hotel","2"
"Koffiepellerij Insulinde","2"
"Huis Huydecoper","2"
"Theo Thijssenschool","2"
"Brug 38|Brug 39","2"
"Claes Reinierszhofje","2"
"Montelbaanstoren|Nieuwe Werkhuis","2"
"De Hond","2"
"Boomkerk","2"
"Handboogdoelen|Bushuis","2"
"Doopsgezinde kerk Het Lam","2"
"Kantoor Westergasfabriek","2"
"Marnixschool","2"
"Brug 93","2"
"Beulingsluis|Brug 27","2"
"Brug 38","2"
"Brug 220|Doelensluis","2"
"Nederlands-Indische Handelsbank","2"
"Dubbeltjeshuizen","2"
"Scheepvaarthuis|Kraansluis","2"
"Sint Andrieshofje","2"
"Hofje van de weduwe Roosen","2"
"Universiteitstheater","2"
"Cornelis Krusemanschool","2"
"Boerderij de Melkweg","2"
"D'Witte Leli","2"
"Brug 98","2"
"Huis Messina","2"
"Waalkerk","2"
"Brug 297","2"
"Amstel-Badhuis","2"
"Kantoorgebouw Nieuw Amsterdam","2"
"Brug 30","2"
"Iepenbrug","2"
"Huize Zonnehoek","2"
"Bushuissluis","1"
"Villa Cato","1"
"oeil-de boeuf","1"
